date,quarter,hy_oas
2005-12-31,Q4 '05,3.71
2006-03-31,Q1 '06,3.13
2006-06-30,Q2 '06,3.35
2006-09-30,Q3 '06,3.44
2006-12-31,Q4 '06,2.89
2007-03-31,Q1 '07,2.85
2007-06-30,Q2 '07,2.98
2007-09-30,Q3 '07,4.2
2007-12-31,Q4 '07,5.92
2008-03-31,Q1 '08,8.21
2008-06-30,Q2 '08,7.35
2008-09-30,Q3 '08,10.96
2008-12-31,Q4 '08,18.12
2009-03-31,Q1 '09,17.03
2009-06-30,Q2 '09,10.55
2009-09-30,Q3 '09,7.93
2009-12-31,Q4 '09,6.39
2010-03-31,Q1 '10,5.84
2010-06-30,Q2 '10,7.13
2010-09-30,Q3 '10,6.26
2010-12-31,Q4 '10,5.41
2011-03-31,Q1 '11,4.77
2011-06-30,Q2 '11,5.42
2011-09-30,Q3 '11,8.41
2011-12-31,Q4 '11,7.23
2012-03-31,Q1 '12,5.99
2012-06-30,Q2 '12,6.44
2012-09-30,Q3 '12,5.74
2012-12-31,Q4 '12,5.34
2013-03-31,Q1 '13,4.86
2013-06-30,Q2 '13,5.21
2013-09-30,Q3 '13,4.83
2013-12-31,Q4 '13,4.0
2014-03-31,Q1 '14,3.77
2014-06-30,Q2 '14,3.53
2014-09-30,Q3 '14,4.4
2014-12-31,Q4 '14,5.04
2015-03-31,Q1 '15,4.82
2015-06-30,Q2 '15,5.0
2015-09-30,Q3 '15,6.62
2015-12-31,Q4 '15,6.95
2016-03-31,Q1 '16,7.05
2016-06-30,Q2 '16,6.21
2016-09-30,Q3 '16,4.97
2016-12-31,Q4 '16,4.22
2017-03-31,Q1 '17,3.92
2017-06-30,Q2 '17,3.77
2017-09-30,Q3 '17,3.56
2017-12-31,Q4 '17,3.63
2018-03-31,Q1 '18,3.72
2018-06-30,Q2 '18,3.71
2018-09-30,Q3 '18,3.28
2018-12-31,Q4 '18,5.33
2019-03-31,Q1 '19,4.05
2019-06-30,Q2 '19,4.07
2019-09-30,Q3 '19,4.02
2019-12-31,Q4 '19,3.6
2020-03-31,Q1 '20,8.77
2020-06-30,Q2 '20,6.44
2020-09-30,Q3 '20,5.41
2020-12-31,Q4 '20,3.86
2021-03-31,Q1 '21,3.36
2021-06-30,Q2 '21,3.04
2021-09-30,Q3 '21,3.15
2021-12-31,Q4 '21,3.1
2022-03-31,Q1 '22,3.43
2022-06-30,Q2 '22,5.87
2022-09-30,Q3 '22,5.43
2022-12-31,Q4 '22,4.81
2023-03-31,Q1 '23,4.58
2023-06-30,Q2 '23,4.05
2023-09-30,Q3 '23,4.03
2023-12-31,Q4 '23,3.39
2024-03-31,Q1 '24,3.15
2024-06-30,Q2 '24,3.21
2024-09-30,Q3 '24,3.03
2024-12-31,Q4 '24,2.92
2025-03-31,Q1 '25,3.55
2025-06-30,Q2 '25,2.96
2025-09-30,Q3 '25,2.8
2025-12-31,Q4 '25,2.95
