date,quarter,value
2005-03-31,Q1 '05,42.81999969482422
2005-06-30,Q2 '05,43.439998626708984
2005-09-30,Q3 '05,46.70000076293945
2005-12-31,Q4 '05,51.58000183105469
2006-03-31,Q1 '06,58.099998474121094
2006-06-30,Q2 '06,61.22999954223633
2006-09-30,Q3 '06,59.470001220703125
2006-12-31,Q4 '06,63.209999084472656
2007-03-31,Q1 '07,65.73999786376953
2007-06-30,Q2 '07,64.2699966430664
2007-09-30,Q3 '07,73.51000213623047
2007-12-31,Q4 '07,82.45999908447266
2008-03-31,Q1 '08,90.41000366210938
2008-06-30,Q2 '08,91.4000015258789
2008-09-30,Q3 '08,85.06999969482422
2008-12-31,Q4 '08,86.5199966430664
2009-03-31,Q1 '09,90.27999877929688
2009-06-30,Q2 '09,91.18000030517578
2009-09-30,Q3 '09,98.8499984741211
2009-12-31,Q4 '09,107.30999755859375
2010-03-31,Q1 '10,108.94999694824219
2010-06-30,Q2 '10,121.68000030517578
2010-09-30,Q3 '10,127.91000366210938
2010-12-31,Q4 '10,138.72000122070312
2011-03-31,Q1 '11,139.86000061035156
2011-06-30,Q2 '11,146.0
2011-09-30,Q3 '11,158.05999755859375
2011-12-31,Q4 '11,151.99000549316406
2012-03-31,Q1 '12,162.1199951171875
2012-06-30,Q2 '12,155.19000244140625
2012-09-30,Q3 '12,171.88999938964844
2012-12-31,Q4 '12,162.02000427246094
2013-03-31,Q1 '13,154.4499969482422
2013-06-30,Q2 '13,119.11000061035156
2013-09-30,Q3 '13,128.17999267578125
2013-12-31,Q4 '13,116.12000274658203
2014-03-31,Q1 '14,123.61000061035156
2014-06-30,Q2 '14,128.0399932861328
2014-09-30,Q3 '14,116.20999908447266
2014-12-31,Q4 '14,113.58000183105469
2015-03-31,Q1 '15,113.66000366210938
2015-06-30,Q2 '15,112.37000274658203
2015-09-30,Q3 '15,106.86000061035156
2015-12-31,Q4 '15,101.45999908447266
2016-03-31,Q1 '16,117.63999938964844
2016-06-30,Q2 '16,126.47000122070312
2016-09-30,Q3 '16,125.63999938964844
2016-12-31,Q4 '16,109.61000061035156
2017-03-31,Q1 '17,118.72000122070312
2017-06-30,Q2 '17,118.0199966430664
2017-09-30,Q3 '17,121.58000183105469
2017-12-31,Q4 '17,123.6500015258789
2018-03-31,Q1 '18,125.79000091552734
2018-06-30,Q2 '18,118.6500015258789
2018-09-30,Q3 '18,112.76000213623047
2018-12-31,Q4 '18,121.25
2019-03-31,Q1 '19,122.01000213623047
2019-06-30,Q2 '19,133.1999969482422
2019-09-30,Q3 '19,138.8699951171875
2019-12-31,Q4 '19,142.89999389648438
2020-03-31,Q1 '20,148.0500030517578
2020-06-30,Q2 '20,167.3699951171875
2020-09-30,Q3 '20,177.1199951171875
2020-12-31,Q4 '20,178.36000061035156
2021-03-31,Q1 '21,159.9600067138672
2021-06-30,Q2 '21,165.6300048828125
2021-09-30,Q3 '21,164.22000122070312
2021-12-31,Q4 '21,170.9600067138672
2022-03-31,Q1 '22,180.64999389648438
2022-06-30,Q2 '22,168.4600067138672
2022-09-30,Q3 '22,154.6699981689453
2022-12-31,Q4 '22,169.63999938964844
2023-03-31,Q1 '23,183.22000122070312
2023-06-30,Q2 '23,178.27000427246094
2023-09-30,Q3 '23,171.4499969482422
2023-12-31,Q4 '23,191.1699981689453
2024-03-31,Q1 '24,205.72000122070312
2024-06-30,Q2 '24,215.00999450683594
2024-09-30,Q3 '24,243.05999755859375
2024-12-31,Q4 '24,242.1300048828125
2025-03-31,Q1 '25,288.1400146484375
2025-06-30,Q2 '25,304.8299865722656
2025-09-30,Q3 '25,355.4700012207031
2025-12-31,Q4 '25,396.30999755859375
